claim_id,video_id,channel_id,claimant_id,claim_date,video_upload_date,claim_type,status,resolution_days,action_taken,region,video_views,video_duration_seconds,content_category,estimated_revenue_impact,counter_notice_filed,is_suspicious,days_since_upload,abuse_score,manual_review_required,reviewer_id,review_accuracy
CLAIM_00000001,VID_00020953,CH_00007778,CLMT_00003685,2023-12-31,2023-05-23,Visual,Disputed,,Block,US,1283,211,Entertainment,0.0,False,False,222,18,False,REV_102,True
CLAIM_00000002,VID_00003649,CH_00008210,CLMT_00002343,2022-10-26,2021-10-29,Thumbnail,Resolved,34.0,Block,EU,35,493,News,0.0,False,False,362,29,False,REV_108,True
CLAIM_00000003,VID_00000820,CH_00004336,CLMT_00001756,2023-11-05,2023-08-10,Audiovisual,Active,,Monetize,APAC,2201,67,Music,4258.01,False,False,87,21,False,REV_115,True
CLAIM_00000004,VID_00024300,CH_00015580,CLMT_00003943,2023-05-28,2022-10-25,Audiovisual,Resolved,44.0,Monetize,APAC,303,750,Music,3244.83,False,False,215,39,False,REV_152,True
CLAIM_00000005,VID_00009013,CH_00003246,CLMT_00002752,2023-10-17,2023-09-07,Audio,Resolved,78.0,Monetize,LATAM,579,864,Lifestyle,2392.64,False,False,40,1,False,REV_168,True
CLAIM_00000006,VID_00008025,CH_00017728,CLMT_00004916,2023-10-30,2023-05-13,Audio,Resolved,65.0,Block,MEA,334,503,Music,0.0,False,False,170,34,False,REV_035,True
CLAIM_00000007,VID_00007315,CH_00012948,CLMT_00004325,2023-11-28,2023-03-08,Audio,Active,,Track,MEA,37335,547,Lifestyle,0.0,True,False,265,18,True,REV_064,True
CLAIM_00000008,VID_00004573,CH_00013027,CLMT_00001505,2022-11-18,2022-09-15,Audiovisual,Resolved,90.0,Track,EU,2583,315,Entertainment,0.0,True,False,64,38,True,REV_111,True
CLAIM_00000009,VID_00024133,CH_00019111,CLMT_00002401,2023-11-26,2022-12-17,Audiovisual,Active,,Monetize,EU,1411,33,Gaming,729.56,False,False,344,19,False,REV_192,True
CLAIM_00000010,VID_00003359,CH_00004946,CLMT_00004366,2024-07-29,2024-05-31,Audiovisual,Active,,Block,EU,3366,88,Technology,0.0,True,False,59,24,True,REV_082,True
CLAIM_00000011,VID_00022175,CH_00011866,CLMT_00000612,2023-06-22,2023-04-03,Audio,Expired,12.0,Monetize,APAC,789,60,Music,1962.32,False,False,80,4,False,REV_022,True
CLAIM_00000012,VID_00024271,CH_00010557,CLMT_00001767,2022-11-20,2022-08-03,Thumbnail,Resolved,28.0,Track,US,207,236,Music,0.0,False,False,109,38,False,REV_001,True
CLAIM_00000013,VID_00029235,CH_00004134,CLMT_00001192,2023-06-26,2023-03-29,Audiovisual,Resolved,40.0,Monetize,APAC,2035,916,Technology,4792.78,False,False,89,12,False,REV_133,True
CLAIM_00000014,VID_00017871,CH_00019803,CLMT_00004413,2023-01-22,2022-11-13,Audio,Resolved,3.0,Monetize,US,117,119,Music,2146.93,False,False,70,5,False,REV_194,True
CLAIM_00000015,VID_00002849,CH_00001795,CLMT_00000954,2023-09-25,2023-05-30,Audio,Active,,Monetize,MEA,8355,74,Gaming,3779.33,False,False,118,37,False,REV_078,True
CLAIM_00000016,VID_00019350,CH_00010790,CLMT_00004144,2023-05-10,2022-10-01,Audio,Resolved,87.0,Block,US,8319,115,Music,0.0,False,False,221,12,False,REV_127,True
CLAIM_00000017,VID_00013826,CH_00000782,CLMT_00000116,2023-12-14,2023-07-29,Audio,Active,,Block,APAC,124,56,Music,0.0,False,False,138,18,False,REV_186,True
CLAIM_00000018,VID_00001042,CH_00005690,CLMT_00000777,2023-09-27,2023-05-21,Audiovisual,Disputed,,Monetize,EU,157,142,Other,1337.89,False,False,129,23,False,REV_029,True
CLAIM_00000019,VID_00000977,CH_00012761,CLMT_00001483,2024-07-14,2024-01-20,Visual,Resolved,15.0,Block,APAC,795,138,Gaming,0.0,False,False,176,23,False,REV_120,True
CLAIM_00000020,VID_00003071,CH_00001757,CLMT_00002999,2024-06-04,2024-01-19,Audio,Active,,Monetize,US,136130,116,Gaming,109.79,False,False,137,16,False,REV_097,True
CLAIM_00000021,VID_00007165,CH_00000233,CLMT_00002882,2022-10-27,2021-12-11,Audiovisual,Active,,Track,US,2601,2422,News,0.0,False,False,320,34,False,REV_063,True
CLAIM_00000022,VID_00007624,CH_00001570,CLMT_00004113,2023-07-31,2022-09-12,Audio,Resolved,50.0,Monetize,MEA,9535,298,Technology,3413.62,False,False,322,4,False,REV_033,True
CLAIM_00000023,VID_00016560,CH_00002629,CLMT_00002235,2024-06-25,2023-11-09,Audio,Resolved,85.0,Block,EU,7,197,Music,0.0,False,False,229,25,False,REV_022,True
CLAIM_00000024,VID_00019727,CH_00003641,CLMT_00002251,2022-10-25,2022-03-07,Visual,Resolved,47.0,Track,US,304,242,Entertainment,0.0,False,False,232,0,False,REV_056,True
CLAIM_00000025,VID_00000870,CH_00001815,CLMT_00002596,2024-01-31,2023-05-05,Visual,Active,,Monetize,APAC,5300,720,Music,1440.03,False,False,271,23,False,REV_140,True
CLAIM_00000026,VID_00018391,CH_00002726,CLMT_00003666,2024-06-26,2024-03-24,Audiovisual,Disputed,,Monetize,US,79487,252,Education,3370.06,False,False,94,18,False,REV_185,True
CLAIM_00000027,VID_00006516,CH_00010706,CLMT_00001551,2024-08-09,2024-04-25,Audio,Active,,Monetize,US,91051,2196,Music,4792.11,False,False,106,24,False,REV_097,True
CLAIM_00000028,VID_00023463,CH_00013898,CLMT_00002661,2023-01-20,2023-01-12,Audiovisual,Resolved,48.0,Mute,APAC,7859,334,Sports,0.0,False,False,8,19,False,REV_186,True
CLAIM_00000029,VID_00021296,CH_00002419,CLMT_00001361,2023-10-11,2023-08-17,Audiovisual,Active,,Monetize,MEA,141485,440,Entertainment,2798.5,False,False,55,18,False,REV_075,False
CLAIM_00000030,VID_00022982,CH_00013608,CLMT_00003200,2023-08-09,2023-05-23,Audio,Active,,Monetize,MEA,398826,313,Music,3921.95,False,False,78,24,False,REV_156,True
CLAIM_00000031,VID_00017857,CH_00002308,CLMT_00002160,2023-03-11,2022-11-09,Audiovisual,Resolved,48.0,Block,LATAM,2263,140,Gaming,0.0,False,False,122,14,False,REV_151,True
CLAIM_00000032,VID_00013747,CH_00019184,CLMT_00000286,2023-09-01,2023-03-14,Audio,Active,,Block,APAC,19428,520,Music,0.0,False,False,171,2,False,REV_012,True
CLAIM_00000033,VID_00007224,CH_00015063,CLMT_00003664,2022-12-06,2022-08-16,Audio,Disputed,,Track,US,107,112,Education,0.0,False,False,112,7,False,REV_067,True
CLAIM_00000034,VID_00014720,CH_00006309,CLMT_00000886,2024-03-03,2023-05-01,Audiovisual,Resolved,52.0,Track,US,141315,953,Film,0.0,False,False,307,34,False,REV_199,False
CLAIM_00000035,VID_00019310,CH_00018411,CLMT_00002496,2024-06-07,2023-12-07,Thumbnail,Disputed,,Mute,US,27377,134,Music,0.0,False,False,183,18,False,REV_163,True
CLAIM_00000036,VID_00009116,CH_00008452,CLMT_00004678,2023-12-25,2023-09-30,Audiovisual,Active,,Monetize,EU,17747,151,Sports,2051.32,True,False,86,1,True,REV_027,True
CLAIM_00000037,VID_00026524,CH_00008270,CLMT_00000687,2023-01-26,2022-09-07,Audio,Active,,Monetize,EU,2977,490,News,1969.67,True,False,141,37,True,REV_111,True
CLAIM_00000038,VID_00028486,CH_00016852,CLMT_00001620,2023-07-27,2022-09-23,Audio,Resolved,22.0,Mute,EU,42288,47,Music,0.0,False,False,307,37,False,REV_142,True
CLAIM_00000039,VID_00000213,CH_00002684,CLMT_00000882,2024-06-07,2024-03-31,Audiovisual,Active,,Mute,US,36200,463,Gaming,0.0,True,False,68,27,True,REV_130,True
CLAIM_00000040,VID_00024865,CH_00004566,CLMT_00000341,2023-12-28,2023-11-10,Visual,Resolved,68.0,Monetize,US,294,101,Music,633.89,False,False,48,27,False,REV_090,True
CLAIM_00000041,VID_00026406,CH_00002875,CLMT_00002169,2024-01-23,2023-09-15,Audio,Resolved,39.0,Monetize,US,4998,124,Education,924.64,False,False,130,17,False,REV_164,True
CLAIM_00000042,VID_00005232,CH_00007570,CLMT_00003534,2024-09-11,2023-11-15,Visual,Resolved,74.0,Monetize,US,8435,1404,News,1672.32,False,False,301,25,False,REV_073,False
